topic_id,topic_label,topic_weights,sentiment_score,bid
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.0,R2g9vFBiw
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.0,R2dgI178r
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.3,R2jf8sdwb
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.5,QFl8ff8S0
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.7,QFlaglkGr
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.0,QFkGS4B5Q
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",1.0,QFhDJDisB
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFljsC5u7
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFi79xIev
2,城市问题,"{'1': 0.0, '2': 1.0, '3': 0.0, '4': 0.0}",0.9,QFjrKFNbu
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFi56dxyB
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",-0.3,QFlKatXXq
2,城市问题,"{'1': 0.0, '2': 0.8, '3': 0.0, '4': 0.2}",-0.6,QFicH4utZ
3,民生服务,"{'1': 0.0, '2': 0.0, '3': 1.0, '4': 0.0}",0.0,QFneWo1Hh
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.2,QFmt7pYSP
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-1.0,QFlFPErRU
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.5,QFlHBhadA
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFkSS9Iyh
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.0,QFkSk9HCD
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.5,QFk9rlPoV
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.5,QFkx8FKaI
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.0,QFhq9cD0M
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.2,QFlXiyKwd
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFm8TuIPV
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.9,QFjNBp8dp
3,民生服务,"{'1': 0.0, '2': 0.0, '3': 1.0, '4': 0.0}",0.0,QFnrIdHaV
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.5,QFiLedEHk
3,民生服务,"{'1': 0.0, '2': 0.0, '3': 1.0, '4': 0.0}",0.0,QFnk4AqP0
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-1.0,QFhCFyzdz
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.0,QFkXOwQoa
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.0,QFncyAYoP
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",-0.2,QFkVkjfcc
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFjL7fWPW
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.6,QFiZQ1oyg
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.0,QFh9iBsFT
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,R2idPyESg
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",1.0,R2iCQbCmw
3,民生服务,"{'1': 0.0, '2': 0.0, '3': 1.0, '4': 0.0}",0.0,R2jlHd01K
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.6,R2edhj5jb
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,R2fm5dmBS
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.3,R2jfMrf9Y
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.2,R2dAt8LtI
4,公众反馈/举报,"{'1': 0.0, '2': 0.2, '3': 0.1, '4': 0.7}",-0.9,R2gWU56nV
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.9,R2fcsfgKF
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.0,R00TweEgB
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.0,QFU7bxPOj
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.9,QFUsBC235
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.0,R01Aagbnr
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.6,R009tvO3d
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.3,QFWvBhWYj
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.6,R009tvO3d
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.8,R01F1zIU8
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFU7bxPOj
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.8,QFUsBC235
3,民生服务,"{'1': 0.0, '2': 0.0, '3': 1.0, '4': 0.0}",0.0,R00TweEgB
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-1.0,R01Aagbnr
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.0,QFWvBhWYj
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.2,R00l0iw4C
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.9,R00Pm94pm
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.9,R01F1zIU8
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",1.0,R00oLr2Hc
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.8,R01ju1RqJ
2,城市问题,"{'1': 0.0, '2': 1.0, '3': 0.0, '4': 0.0}",0.0,QFWFKgmvG
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.1, '4': 0.9}",-0.8,QFRuj6tut
3,民生服务,"{'1': 0.0, '2': 0.0, '3': 1.0, '4': 0.0}",0.8,QFTAEl8Eq
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFUf4EzJj
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFU9uhjXw
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFWTNaQXd
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,R00Pm94pm
4,公众反馈/举报,"{'1': 0.0, '2': 0.6, '3': 0.1, '4': 0.9}",-0.8,R010g0YKG
3,民生服务,"{'1': 0.0, '2': 0.0, '3': 1.0, '4': 0.0}",0.9,R00oLr2Hc
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.5,R00l0iw4C
2,城市问题,"{'1': 0.0, '2': 1.0, '3': 0.0, '4': 0.0}",-0.8,QFRuj6tut
4,公众反馈/举报,"{'1': 0.0, '2': 0.1, '3': 0.1, '4': 0.8}",-0.8,R01ju1RqJ
3,民生服务,"{'1': 0.0, '2': 0.0, '3': 1.0, '4': 0.0}",0.8,QFTAEl8Eq
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.0,QFWFKgmvG
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",1.0,QFWTNaQXd
1,政务发布,"{'1': 0.9, '2': 0.0, '3': 0.1, '4': 0.0}",0.8,QFUf4EzJj
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",1.0,QFU9uhjXw
4,公众反馈/举报,"{'1': 0.0, '2': 0.3, '3': 0.1, '4': 0.6}",-0.9,R010g0YKG
4,公众反馈/举报,"{'1': 0.0, '2': 0.1, '3': 0.0, '4': 0.9}",-1.0,R2iyl66KO
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.9,R2i5RsIBe
4,公众反馈/举报,"{'1': 0.0, '2': 0.1, '3': 0.0, '4': 0.9}",-0.9,R2ivN0RSN
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.9,R2gzdtczh
4,公众反馈/举报,"{'1': 0.0, '2': 0.2, '3': 0.1, '4': 0.7}",-0.7,R2hiYvrGU
3,民生服务,"{'1': 0.0, '2': 0.0, '3': 1.0, '4': 0.0}",0.0,R2f5Q6La3
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-1.0,R2e0D53bZ
2,城市问题,"{'1': 0.0, '2': 1.0, '3': 0.0, '4': 0.0}",0.5,R2dumC8zx
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.0,R2gavcSvX
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.9,QFn91fauB
1,政务发布,"{'1': 0.9, '2': 0.0, '3': 0.1, '4': 0.0}",0.8,R2g2Fl3jK
2,城市问题,"{'1': 0.1, '2': 0.7, '3': 0.1, '4': 0.1}",0.5,QFloW5718
3,民生服务,"{'1': 0.0, '2': 0.0, '3': 1.0, '4': 0.0}",0.5,QFkT8FdKy
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.5,QFk506TdY
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.9,QFjz1EnHn
3,民生服务,"{'1': 0.0, '2': 0.0, '3': 1.0, '4': 0.0}",0.6,QFnvon1F4
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.9,QFkoUecvv
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFhU5sgP0
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.7,QFiiTmK5D
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.3,QFlGeoiQV
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,R2j6GFqyb
3,民生服务,"{'1': 0.0, '2': 0.0, '3': 0.8, '4': 0.2}",0.0,R2gevgMJp
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.6,R2jfcrypD
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,R2gcnC88I
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.0,R2fDWoGxb
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.9,R2fEP0ppd
3,民生服务,"{'1': 0.2, '2': 0.0, '3': 0.8, '4': 0.0}",0.3,R2d1ZiV4l
3,民生服务,"{'1': 0.0, '2': 0.0, '3': 1.0, '4': 0.0}",0.45,R2cEtt86I
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.25,R2dBGwWJm
2,城市问题,"{'1': 0.0, '2': 0.5, '3': 0.3, '4': 0.2}",0.0,R1sjzlb8K
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.9,R0V8swdJm
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.5,R0UdteUIN
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.9,R0TdElSXk
4,公众反馈/举报,"{'1': 0.0, '2': 0.2, '3': 0.1, '4': 0.7}",-0.9,R0RG5inWd
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.6,R0S7O8SCn
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,R0RfE2TCk
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.9,R0UU99xjv
1,政务发布,"{'1': 0.8, '2': 0.1, '3': 0.1, '4': 0.0}",0.2,R0Wx5Co0W
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.9,R0SPe5XEx
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.9,R0WsV8BW0
3,民生服务,"{'1': 0.0, '2': 0.0, '3': 1.0, '4': 0.0}",1.0,R0RJOcVE5
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.9,R0Wa5h2QL
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,R0VDQCPax
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.0,R0VDswOfU
3,民生服务,"{'1': 0.0, '2': 0.0, '3': 1.0, '4': 0.0}",0.9,R0SI3iuy8
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.9,R0RW1oKZc
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",1.0,R0ViW1WT6
3,民生服务,"{'1': 0.0, '2': 0.0, '3': 1.0, '4': 0.0}",0.8,R0W9O3hmz
1,政务发布,"{'1': 0.9, '2': 0.05, '3': 0.05, '4': 0.0}",0.1,R0VYs2IlO
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,R0TmR14YI
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFnhQt2JH
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,R0SIexeac
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.5,QFkmEaq8z
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.9,QFiZR4wPt
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFlKtaotx
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",1.0,QFkY7b455
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFnueyFeC
3,民生服务,"{'1': 0.0, '2': 0.0, '3': 1.0, '4': 0.0}",0.0,QFnq6l3Ib
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.6,QFhPfBaIH
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFm8QmpgU
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.9,QFir2i51E
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.5,QFhSYqdT5
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFlKEtviM
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFnkoyiil
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.5,QFkCAhV6h
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.5,QFib5CfXy
4,公众反馈/举报,"{'4': 1.0, '1': 0.0, '2': 0.0, '3': 0.0}",-0.8,QFmria92v
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFlgKcr8F
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFiMAdi6K
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.8,QFn8K6Vgi
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.0,R0VaazZZ1
3,民生服务,"{'1': 0.0, '2': 0.0, '3': 1.0, '4': 0.0}",0.8,R0V0S70zd
2,城市问题,"{'1': 0.0, '2': 1.0, '3': 0.0, '4': 0.0}",0.6,R0URv7ruI
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.9,R0USnvI6L
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.0,R0TJwoIBx
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,R0TIHtFUM
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.1,R0UIB7A0m
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.9,QFVSTsEHc
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFU2tjrC4
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",1.0,QFWYyqWOr
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.9,QFW2Gqezz
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.8,QFWIBxXUg
3,民生服务,"{'1': 0.0, '2': 0.0, '3': 1.0, '4': 0.0}",0.0,QFWnok08N
3,民生服务,"{'1': 0.1, '2': 0.0, '3': 0.9, '4': 0.0}",0.9,QFU5D5lZa
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.8,R019c76Fj
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.9,QFW2eDxVN
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.3,QFWSD5ZnI
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.0,R014TjtBj
1,政务发布,"{'1': 0.6, '2': 0.0, '3': 0.2, '4': 0.2}",0.8,R0007BzUA
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.78,R01qZahLD
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-1.0,QFVSTsEHc
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",1.0,R01wyjpVO
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFW2Gqezz
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFU2tjrC4
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",1.0,QFWYyqWOr
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.8,QFWIBxXUg
3,民生服务,"{'1': 0.0, '2': 0.0, '3': 1.0, '4': 0.0}",0.6,QFWnok08N
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",1.0,QFU5D5lZa
4,公众反馈/举报,"{'1': 0.0, '2': 0.1, '3': 0.0, '4': 0.9}",-0.8,R019c76Fj
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.0,R014TjtBj
4,公众反馈/举报,"{'1': 0.0, '2': 0.1, '3': 0.0, '4': 1.0}",0.0,QFWSD5ZnI
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.2, '4': 0.8}",-0.8,QFW2eDxVN
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.6,R0007BzUA
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,R01qZahLD
2,城市问题,"{'1': 0.0, '2': 1.0, '3': 0.0, '4': 0.0}",0.9,R01wyjpVO
3,民生服务,"{'1': 0.0, '2': 0.0, '3': 1.0, '4': 0.0}",0.7,R2iRAv4gy
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.4,R2hsOeejv
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.5,R2h4DaaDU
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.0,R2fWCmhhV
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,R2g0p2YXs
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,R2eiv5dbS
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,R2gxaclrV
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.9,R2dQTrSTg
2,城市问题,"{'1': 0.0, '2': 1.0, '3': 0.0, '4': 0.0}",-0.6,R2fv6hA65
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.3,R2dN7477z
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,R2dC0iIfF
3,民生服务,"{'1': 0.0, '2': 0.0, '3': 1.0, '4': 0.0}",0.9,QE09qjKyC
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.2,QDZ24aVPy
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.2,QDVLOAhdq
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QDYd9EC5B
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.0,QDZBM0AtU
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.0,R0Wq1rNBp
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",0.0,R0T1MFS5t
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.9,R0UTyw09C
1,政务发布,"{'1': 0.9, '2': 0.0, '3': 0.1, '4': 0.0}",0.8,R0Uc7wTsk
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.5,R0WgnxczA
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.5,R0UXNpMqp
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.5,R0Ug95FDs
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,R0TVbEWWW
3,民生服务,"{'1': 0.2, '2': 0.0, '3': 0.8, '4': 0.0}",0.6,QFloM6IRN
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFlfK9hdY
4,公众反馈/举报,"{'1': 0.0, '2': 0.3, '3': 0.2, '4': 0.5}",-0.8,QFmViBeFV
4,公众反馈/举报,"{'1': 0.0, '2': 0.4, '3': 0.2, '4': 0.4}",-0.5,QFixrrA7E
4,公众反馈/举报,"{'1': 0.0, '2': 0.0, '3': 0.0, '4': 1.0}",-0.4,QFnx5AQlj
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.8,QFiPnijPC
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.2,QFl07z1hH
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",1.0,QFjCtgNHQ
1,政务发布,"{'1': 1.0, '2': 0.0, '3': 0.0, '4': 0.0}",0.3,QFk9SpaKq
