text,reposts_count,comments_count,attitudes_count,label
【新闻】韩国国会通过“公休日修订案”，7月17日制宪节时隔18年重新成为公休日，预计将带动假日消费，网友调侃“韩国打工人又多一天休息”。,377,147,1704,1
#爆料者承认梓渝录音视频为AI#某爆料者承认此前发布的梓渝录音、视频系AI合成，此前引发粉圈互撕，网友谴责“造谣博流量”，呼吁平台加强AI内容审核。,318,347,8899,0
粉圈集资？？这是顶着追星名义干违法的事啊，微信群非公开集资风险大，一旦跑路维权难，支持监管部门严查。,0,0,806,0
来货了鸭屁,0,0,1690,0
太心疼孩子了,0,0,196128,0
？,0,0,1438,0
转,0,0,274,0
我真服了，之前切卡的时候快递员就一直休休休，现在又多一天公休，快递更慢了。,0,0,1704,0
#福州一餐馆筷子出现玻璃纤维#福建福州蔡记天泉羊肉炉火锅店，顾客就餐时发现筷子含玻璃纤维，手部被扎刺痛，店方称已对接餐具公司，市监局需当事人投诉才受理，网友质疑餐具质量监管。,2,3,10,1
#魏大勋超话#魏大勋1215出道17年快乐，魏大勋陆鸣｜魏大勋无罪之身｜MaisonKitsune｜魏大勋薇诺娜代言，粉丝刷屏祝福，呼吁多关注作品。,5,20,29,0
日本拿30个诺奖登不了月球火星，英法德300多个诺奖也登不了火星，我们科技诺奖少，却能上月球火星还挖土，网友：实践比奖项更重要。,250,696,6369,0
社会的贫富差距，社会的民生冷暖，才是吾辈更应关注的问题，别被娱乐八卦带偏焦点。,0,0,6369,1
薛剑对砍头贴据说已删掉，又来“毁灭民族”言论，网友反驳：日本极右是敌人，日本人民是朋友，中日友好要世代延续，反对极端言论。,56,56,117,0
回复:说的对，你就这水平了，没说错//:就这水平，也只能这样了！//:日本右翼骂我们，我们凭什么不能骂回去？//@马跃成:你喜欢跟日本右翼学？他过嘴瘾，你也过嘴瘾？,0,0,117,0
静冈县消防技术训练，消防员模拟火灾救援，展示破拆、搜救技能，网友点赞“专业守护安全”。,585,147,4015,0
烧起来了,0,0,4015,0
#宁波妇幼#有人说手术无百分百安全，但隐瞒家属手术失败、二次开胸不告知、病历造假，这是医德问题！建议多找几家三甲医院评估，避免医疗事故。,0,6,24,1
#赤峰通报免费采捡白菜事件#完整版通报：黄某某发视频造谣“免费白菜”，红山晚报未核实转发，导致百余人采捡，5种植户损失9.52万元，涉事方均被处理，呼吁守护清朗网络。,2417,752,10151,1
讲得很清楚//:总算是有个结果了，官方通报细节到位，该追责的追责，该补偿的补偿，希望引以为戒。,0,0,10151,0
我暂时是不想回收安卓国家论的发言的，这不是社达，而是客观描述，朋友入境危地马拉被边检刁难，对比日韩旅游体验，网友：旅游选成熟地区省心力。,0,2,30,0
两女子喂老人吃饭方式引争议，扒开老人嘴巴往下倒饭，网友怒斥“没人性”，质疑是否为摆拍博流量，呼吁尊重老人。,68,319,3392,0
太没人性了，喂饭应该耐心照顾，扒嘴倒饭是虐待，支持网友举报涉事者。,0,0,3392,0
本人出门穿衣服就这样，喜欢宽松风格，不喜欢被指指点点，每个人审美不同，尊重就好。,0,0,888,0
电梯超载，男子不肯下去，僵持10分钟后起争执，男子被扇巴掌锁喉，网友：互相体谅，超载危险别任性。,1,2,20,0
【】把虐杀案受害者塑造成魅魔合理吗？为游戏角色抛弃良知人性，这种行为突破底线，网友：娱乐要有道德边界。,1275,350,33148,0
……//@喜欢狗1怎么了:为了一个游戏有必要连人都不做了吗//@豪雨誠侍心:。。。//@闪电螺丝:这还是人吗,0,0,33148,0
吓人。。,1,4,17,0
我们老扬州人就是这样吃的：早上去瘦西湖散步，买干拌面+扬大酸奶搅拌，配肴肉，煮康师傅料狮子头打鸡蛋，最后倒进瘦西湖，网友：调侃还是真的？太浪费了。,0,0,17,0
据说最近HF昨晚有大震动，CX的材料要补很久，网友猜测“可能是政策调整”，呼吁等官方消息。,13,8,10,0
//:搞不好是为了对冲日本的熊吃人的新闻//:支持右边老师观点，别被境外谣言带节奏，相信官方调查。,0,0,365,0
【#中方回应以色列有关议员窜访台湾#】中国驻以色列使馆：以色列议员托波洛夫斯基窜访台湾，违反一个中国原则，破坏中以关系基础，强烈谴责！世界上只有一个中国，台湾是中国领土，绝不允许分裂行为。,16,37,79,1
CNN调查：伊朗对美军中东基地造成“史无前例的破坏”，2月28日美伊开战后，伊朗打击8国16处美军设施，部分基地几乎无法使用，摧毁228座建筑装备，美军雷达、通信枢纽受损严重。,43,9,120,1
【5月6日#新闻1+1#】五一假期跨区域流动15.17亿人次，旅游出游3.2亿人次，收入破2200亿元创历史，专家解读假期扩容、文旅融合趋势，探讨如何提升旅游体验质量。,1,15,8,1
制造冤案从《行政处罚决定书》开始！三四十年工作单位没了，公安分局成“本公司”，证言自相矛盾未质证，违法征地偷拆房屋不追责，守法公民被拘留还败诉，网友呼吁“纠正冤假错案”。,75,0,1,1
江苏淮安齐洪鸾烈士（1992年追认）善后：原清浦区政府承诺理顺其子齐兵工作，却未兑现，还发现烈属待遇被假烈属冒领，家属信访诉讼多年，听证会过后无回音，网友关注烈士权益保障。,49606,89,98,1
监督者的信息再次遭遇精准泄露#警方回应博主取样河水后被敲门##环保博主取样红色河水被半夜敲门#博主曝光污染后信息泄露，遭敲门警告，网友质疑“谁在保护污染企业”，呼吁保护监督者安全。,0,0,1,1
善益同心基金会简介：2015年沈南鹏等发起，非营利公益组织，宗旨“扶危济困、传递爱心”，恪守公开透明，汇聚资源推动公益，呼吁社会参与公益事业。,0,0,1,1
#农村医保缴费调整#农村居民医保人均年缴费提高至380元，财政补助同步增加，保障范围扩大，网友：希望报销更便捷，别让缴费涨了报销难。,0,0,196128,1
某市简化企业注册流程：取消3项冗余材料，办理时限从3个工作日压缩至1个，推行“一网通办”，企业主反馈“省时省力”，助力营商环境优化。,6,8,34,1
某市政务大厅“一窗通办”：企业开办从多窗跑变成“1小时办结”，整合市场监管、税务、社保窗口，提供免费帮办服务，网友：政务服务越来越高效。,5,20,29,1
某市医保局查处5家欺诈骗保药店：通过虚开处方、刷空卡等方式骗保，追回基金120万元，吊销2家药店医保资质，网友：严查骗保守护医保基金。,39,19,274,1
某经开区招商引资新政：高新技术企业落户给予3年税收减免，提供厂房租金补贴、人才公寓，签约12个项目总投资50亿元，助力产业升级。,710,177,1438,1
某市赴长三角招商：重点对接新能源、智能制造企业，举办推介会签约项目，提供“保姆式”服务，解决企业落地难题，预计带动就业2000人。,377,147,1704,1
